user_id,age,gender,occupation,sleep_duration,bedtime_hour,wakeup_hour,stress_level,exercise_duration,caffeine_intake,screen_time_before_bed,alcohol_intake,meal_timing,mood_before_sleep,room_temperature,noise_level,light_exposure,sleep_interruptions,sleep_quality,date
user_0000,40,Female,Retired,5.955270797598898,23.074514118754525,5.029784916353421,4.930435106188113,20.718179651856303,3,2.78505059810126,1,19.99682891810779,0,22.194499418784993,6.389108910586868,2.0626128912834516,1,Average,2025-09-28
user_0001,33,Female,Student,4.740374529309519,24.912810802841662,5.653185332151182,10.0,24.495014431304647,2,0.9251935172954908,1,21.927288734158616,1,20.310731590646146,2.7517266032298457,10.0,0,Average,2025-09-11
user_0002,42,Male,Retired,6.632671160332442,19.12468955463766,1.7573607149701012,4.210300314960122,49.957277923330494,1,0.36806061927379663,3,20.192137249437778,1,18.080656359015055,2.942037281777124,0.0473394030261682,0,Good,2025-09-08
user_0003,53,Other,Student,10.503849066793853,22.70704694246535,9.210896009259201,1.4986443686509932,22.103849017298618,2,0.14361421961938275,0,20.451412269547546,0,19.67954708162809,0.8340467785073674,3.5458180853658976,0,Good,2025-10-01
user_0004,32,Female,Office Worker,7.2382966895561545,22.211760967980048,5.4500576575362025,2.679465069899874,21.744148524595474,1,4.596246911262027,2,18.633578673202646,0,23.795482394655163,10.0,2.783776181332125,1,Good,2025-09-16
user_0005,32,Male,Remote Worker,8.444173404501345,23.70841213761084,8.152585542112185,3.2453916612387728,116.88755526967631,2,0.11316154728588464,0,19.48745683331391,0,21.184106923482187,2.6597104196125296,8.266390772549745,0,Good,2025-09-15
user_0006,53,Male,Office Worker,7.78881004286898,22.88375393082784,6.672563973696821,0.24511366636449333,35.33960070299249,1,0.22201096784897428,2,18.457172023196478,2,17.31919524751923,2.5706726991802578,0.3509631442286657,0,Good,2025-09-15
user_0007,44,Male,Retired,6.539363111125944,21.146455202870126,3.6858183139960694,2.3590586590572316,14.59807470836473,0,0.6411574213610736,1,19.678018626101537,2,17.032025404306555,9.781405882720737,4.576858135193635,0,Average,2025-09-12
user_0008,29,Male,Retired,8.1599421173183,21.925702915800088,6.085645033118389,3.7066053700704833,30.723463441405446,2,1.9364044817977946,3,21.160779409571376,2,16.926545810800384,2.476623449388418,4.55910859825726,0,Average,2025-10-01
user_0009,41,Male,Healthcare Worker,6.466884355205851,21.06715345775372,3.5340378129595678,0.549322290938834,12.325889876202714,1,1.1805311705205954,3,18.121546318417835,2,17.531969162079793,10.0,4.423514702463703,1,Average,2025-09-11
user_0010,29,Male,Student,7.746813639937293,24.436812849477477,8.18362648941477,4.551009917922335,6.497634780104361,3,0.2685341661563596,2,21.470999028270217,1,15.0,10.0,10.0,0,Poor,2025-09-29
user_0011,29,Male,Office Worker,7.734588467573982,22.538360967609496,6.272949435183477,2.6295719014408285,22.71128083547078,3,0.684214521647208,3,18.058171091567175,1,21.85946896356819,8.47732462371229,6.928400731535713,1,Average,2025-10-01
user_0012,37,Male,Shift Worker,6.912578772601811,25.922143234355413,8.834722006957222,9.123556533331541,65.84053760290585,0,0.409193679765783,2,17.496365006239976,1,16.190572744181246,0.7245203392137578,0.17151612776841876,0,Average,2025-10-06
user_0013,18,Female,Unemployed,8.744689456827297,22.39081053513368,7.135499991960977,0.13004523156633752,66.17606014663903,2,0.4804340911186651,1,23.0,0,16.803861259086126,3.0158171494663577,2.5476939079140988,0,Good,2025-09-25
user_0014,18,Male,Shift Worker,6.615010056991028,21.224867819561165,3.839877876552194,0.924985808428314,10.460160094256574,1,1.0591483576150997,0,19.734818890781685,1,20.892396618305224,4.292513226267334,2.0296794279262924,0,Good,2025-09-10
user_0015,28,Female,Office Worker,5.599645138048986,19.77531409329691,1.3749592313458976,2.7605489854867313,18.752329812176814,2,2.4350041781190717,2,21.594279026479303,2,25.443913801679404,10.0,1.485108272223441,0,Poor,2025-09-26
user_0016,22,Male,Shift Worker,6.8645846163748825,19.254348582739297,2.1189331991141813,1.0553177073139057,5.944880954689083,3,0.4904024157113892,0,23.0,1,23.664979530460812,0.5969037856105133,2.401081473462754,0,Average,2025-09-21
